,"\"eu de tpm choro absolutamente por tudo\""
,"\"RT @phweyhom: \\u0e2d\\u0e22\\u0e39\\u0e48\\u0e01\\u0e31\\u0e1a\\u0e1e\\u0e35\\u0e48\\u0e40\\u0e15\\u0e15\\u0e31\\u0e27\\u0e40\\u0e2b\\u0e25\\u0e37\\u0e2d\\u0e2a\\u0e32\\u0e21\\u0e40\\u0e0b\\u0e19\\u0e44\\u0e21\\u0e48\\u0e40\\u0e04\\u0e22\\u0e1e\\u0e39\\u0e14\\u0e40\\u0e25\\u0e48\\u0e19 \\ud83d\\ude2d\\ud83d\\ude16 #\\u0e40\\u0e15\\u0e19\\u0e34\\u0e27 https://t.co/Ww8EEsfvs9\""
,"\"RT @mapieyk: \\u0e42\\u0e15\\u0e25\\u0e30 \\u0e40\\u0e25\\u0e35\\u0e49\\u0e22\\u0e07\\u0e02\\u0e49\\u0e32\\u0e27\\u0e1e\\u0e35\\u0e48\\u0e44\\u0e14\\u0e49\\u0e25\\u0e30 \\ud83e\\udd79 https://t.co/AkFph4UwlH\""
,"\"RT @coldplay: My Universe = RIAA Certified Platinum in the US \\ud83d\\udcab Congratulations to our brothers @BTS_twt + thank you everyone \\ud83d\\udc9c\\ud83d\\udc19\\u2728 https://t\\u2026\""
