,"\"No les pasa que se acuerdan de Messi con la copa y lloran?\""
,"\"Lo v\\u00ed a Messi levantar la copa, obvio que me voy a emocionar cada vez que lo diga y lo piense.\""
,"\"Acabo de ver que mi alumno particular jugador de f\\u00fatbol que tuve desde pandemia hasta mitad del a\\u00f1o pasado conoci\\u00f3 a Messi y se TATU\\u00d3 SU FIRMA EN EL BRAZO. AAA\""
,"\"El mejor jugador  sin opacar a lo dem\\u00e1s es Leonel Messi la gran argentina del ch\\u00e9 vuelve a relucir en el mundo viva campe\\u00f3n viva argentina viva suram\\u00e9rica asta la victoria siempre https://t.co/6GDjkmBYVB https://t.co/pPlpgLMobt\""
,"\"Argentina se prepara para recibir a Messi y a sus otros h\\u00e9roes campeones del mundo: Buenos Aires (AFP) - \\n\\nEl astro Lionel Messi y sus compa\\u00f1eros de la Selecci\\u00f3n ser\\u00e1n recibidos como h\\u00e9roes el martes en Buenos Aires, donde millones de personas\\u2026 https://t.co/oMgEfOwktK https://t.co/6mpVJOwrDu\""
,"\"obvio que preferimos que ganara argentina antes que un pa\\u00eds que denigra b\\u00e1sicamente a toda latinoam\\u00e9rica, vamo messi\""
,"\"Lo de Gotze posteando una foto del Messi campe\\u00f3n del mundo me destruye el alma\""
,"\"Gracias se\\u00f1or por hacerme argentino y permitirme ver a D10S levantando la m\\u00e1s grande del mundo, gracias por darnos la felicidad m\\u00e1s grande que todo argentino quer\\u00eda, gracias por absolutamente todo. El m\\u00e1s que nada en el mundo necesitaba ganar est\\u00e1 copa, te amo Lionel Andr\\u00e9s Messi https://t.co/u5AckEep87\""
,"\"De Maradona a Messi, la tercera estrella de Argentina\\n#Cuba Disfrut\\u00f3 y sinti\\u00f3 cada gol. \\nhttps://t.co/ZgkPtkSaTr\\n #CubaPorLaPaz https://t.co/GbAUJ5mu4P\""
,"\"Que afortunada Antonella con messi, que buen hombre culiauuuuu\""
,"\"Tengo de fondo de pantalla a Messi con una cosa de 6 kg de oro jaja re loco\""
,"\"Imag\\u00ednate estar en 2022 y seguir argumentando por twitter que CR ha sido mejor que Messi.\""
,"\"Cu\\u00e1ntos RT o \\u2665\\ufe0f para ellos ?\\n.\\n.\\n#pasameelfulbo en Instagram\\n\\n#Messi\\ud80c\\udcf5 #Messi\\ud80c\\udcf5day #Maradona #Qatar2022 #QatarWorldCup2022 #Qatar https://t.co/eKRMj7ftPo\""
,"\"aaaa sigo sin creerlo es el mejor a\\u00f1o de mi vida,  ver a Messi levantar la copa del mundo no tiene precio\""
,"\"Es m\\u00e1gico, venimos de hacer la mayor historia del f\\u00fatbol argentino.\\nTriplete: Campe\\u00f3n de Am\\u00e9rica ganando a Brasil en el maracana, le ganamos a Italia (Campe\\u00f3n de Europa) y para finalizar somos Campeones del mundo.\\n#VamosArgentina #FIFAWorldCup #ArgentinaCampeonDelMundo #Messi\\ud80c\\udcf5 https://t.co/gYnwMMroYz\""
,"\"messi sabe lo que pesa la copa del mundo\""
,"\"Gente se acabo la discusion \\nNi pele ni cristiano ronaldo\\nMESSI ES EL MEJOR JUGADOR DE TODOS LOS TIEMPOS https://t.co/wa2QdgtPeS\""
,"\"Nonono por posta, o sea, imaginate que en tu pais nazcan Diego Armando Maradona y Lionel Andres Messi, y que encima ambos ganen la copa del mundo. No puede ser real, somos escandalosamente el mejor pais del mundo.\""
,"\"messi va a ser campe\\u00f3n en 2026 y ahi si se va a retirar, sigan chupandola\""
,"\"Solo quiero recordarles que Messi es de cancer\""
,"\"Completamente decidido en tatuarme a Messi en el gemelo, si queren mandarme buenas fotos e ideas no me quejo\""
,"\"No tengo nada contra la afici\\u00f3n argentina pero algunos de sus jugadores se han comportado como aut\\u00e9nticos guarros en este mundial, soberbios y sin saber ganar que es lo peor y incluyo al bobo de Messi #yoveosalvame\""
,"\"En mi humilde opini\\u00f3n a este tipo le pegaron el triple que a Messi solamente por tener la mala leche de las lesiones. Messi lo merec\\u00eda eh, pero creo que \\u00c1ngel lo merec\\u00eda un poquito m\\u00e1s. https://t.co/Tlh7jH0UoK\""
,"\"\\u26bd\\ufe0f #Messi al Top 5\\ufe0f\\u20e3.\\n\\n\\u26a0\\ufe0f Tras disputar FIFA World Cup Qatar 2022, Lionel Messi complet\\u00f3 cinco participaciones en las Copas del Mundo de la FIFA , en las que anot\\u00f3 13 goles, superando en la tabla hist\\u00f3rica a #Pel\\u00e9 y #J\\u00fcrgenKlinsmann, entre otros jugadores\\u2026https://t.co/m5l8WhMzlk\""
,"\"\\ud83d\\ude31 \\\"Ser\\u00e1 en Junio\\\": la verdad detr\\u00e1s del supuesto regreso de Lionel Messi a Newell\\u00b4s\\n\\n\\ud83d\\udc49 El \\u00faltimo domingo tuvo la posibilidad de cumplir uno de sus grandes sue\\u00f1os y levant\\u00f3 la Copa del Mundo\\n\\n(\\ud83d\\udca3 \\u00bfConcretar\\u00e1 su vuelta al equipo que lo vio nacer?)\\n\\nhttps://t.co/pXWLlWtyNR https://t.co/I47ou8Uwm2\""
,"\"Luis Su\\u00e1rez felicit\\u00f3 por videollamada a su amigo Leo Messi  https://t.co/WorjRuCpfO\""
,"\"@EduAguirre7 ,#jeJe Cuanta bilis,y saliva,teneis que tragar,por que el 10 del futbol,su santidad #MESSI#gano el mundial.a vuestro MBAPPE,\\ud83d\\udc80\\ud83d\\udc7d\\ud83d\\udc4e\\ud83d\\udeae\\u2620\\ufe0f\""
,"\"escucho a alguien criticar a messi y me pongo violenta\""
,"\"Que bien dormi sabiendo que Messi ya es campe\\u00f3n del mundo\""
,"\"El pedido de Messi a Maradona en el \\u00faltimo penal del Mundial. El capit\\u00e1n argentino se persign\\u00f3 de una manera especial antes de la ejecuci\\u00f3n de Gonzalo Montiel, que le dar\\u00eda a Argentina el t\\u00edtulo. https://t.co/09D7WJMTeo\""
