,"\"@miraejuuuy Me tooo aliw na aliw ko kanila \\ud83e\\udd23\""
,"\"RT @CwrNew: \\u0e1d\\u0e32\\u0e01\\u0e14\\u0e49\\u0e27\\u0e22\\u0e19\\u0e30\\u0e07\\u0e31\\u0e1a \\u0e2d\\u0e34\\u0e2d\\u0e34 \\ud83d\\udc47\\ud83c\\udffb\\nhttps://t.co/6M7YrarPGf\\n#\\u0e02\\u0e49\\u0e32\\u0e21\\u0e1f\\u0e49\\u0e32\\u0e40\\u0e04\\u0e35\\u0e22\\u0e07\\u0e40\\u0e18\\u0e2dSeries\""
,"\"@SQLBrethen I want to know what she says during knack.\\ud83c\\udf1a\\ud83c\\udf1a\""
,"\"@jennas_wife_ @exthxreal @addamsfamily__ DOES THIS MEAN YOULL GIVE US A CHANCE???\""
,"\"RT @Lyen_Z: IM CRYING THIS GENSHIN WISHING APP IS SO GOOFY \\ud83d\\ude2d\\ud83d\\ude2d\\ud83d\\ude2d\\ud83d\\ude2d https://t.co/yjAFfuib17\""
,"\"RT @Amadoelquelolea: No nos dejan pasar al @senadomexicano por instrucciones de @armentapuebla_ presidente del Senado. Aqu\\u00ed la Senadora @ke\\u2026\""
,"\"RT @anna_drw01: #IF_Khaenriah\\n #Genshinlmpact https://t.co/rpNE0yrPtv\""
,"\"RT @heswithlov: happy third anniversary fine line, you will always be famous \\ud83d\\udc99\\ud83d\\udc97 https://t.co/Fbu3iJl8MY\""
,"\"Deals: Apple's MagSafe Charger Makes a Great Last-Minute Holiday Gift at $29.99 https://t.co/BG7sjfRySz https://t.co/Kkdyc70G1u\""
,"\"@rioru04572980 boa noitee\""
,"\"RT @KRY_aia: NHK\\u571f\\u66dc\\u591c9\\u6642\\u304b\\u3089\\u306e\\u30cb\\u30e5\\u30fc\\u30b9\\u756a\\u7d44\\u300c\\u30b5\\u30bf\\u30c7\\u30fc\\u30a6\\u30aa\\u30c3\\u30c1\\uff19\\u300d\\u306eweb\\u30da\\u30fc\\u30b8\\u30a4\\u30e9\\u30b9\\u30c8\\u3001\\u6625\\u590f\\u79cb\\u51ac\\u306e4\\u679a\\u62c5\\u5f53\\u3057\\u3066\\u307e\\u3057\\u305f\\uff01 https://t.co/DtAiCDxf4t\""
,"\"https://t.co/5pYGlOp9Yr\""
,"\"RT @NicolasMaduro: El primer encuentro entre los Comandantes Ch\\u00e1vez y Fidel, fue el inicio de una amistad que uni\\u00f3 a nuestros Pueblos para\\u2026\""
,"\"@FreakyCookies @bigdaddt69er @joyy0524 https://t.co/oIoUInOtZm\""
,"\"What a cold and beautiful starry night. \\nGemini meteor shower is falling in the sky but now I\\u2019m in bed and sleep\\u2026\\nGood night everyone. \\ud83c\\udf17\\ud83d\\udcab\""
,"\"RT @brixwe: Nailed it! https://t.co/gft5ymMmNW\""
,"\"@fernechini @KoJuan2 Vos amigo pero con la Pepsi\""
,"\"RT @Mzdelah: It\\u2019s mostly complacency.. when you get her don\\u2019t stop working to get her\""
,"\"RT @preparezbagarre: About \\\"la d\\u00e9faite philosophique\\\" que repr\\u00e9senterait la d\\u00e9programmation de Bastien Viv\\u00e8s @bdangouleme. \\n\\nVous pouvez vo\\u2026\""
,"\"RT @taegisgod: siento que mi vida entr\\u00f3 en una pausa... quiz\\u00e1s ahora entiendo lo que sinti\\u00f3 bella\\n\\nhttps://t.co/vZk5Y3NZt8\""
,"\"RT @revelbubs: seulgi's laugh???\\ud83d\\ude2d she's one of those kids who would skip class once in their entire school career and think \\\"omg!! icb i ju\\u2026\""
,"\"@Roman_Joseph_M @MiriamRiverP @AuschwitzMuseum *US Holocaust Museum\""
,"\"RT @jpsawada: BIG BOB\\u3055\\u3093\\u30b3\\u30e9\\u30dc\\u32be\\n\\n\\u30ae\\u30d5\\u30c8\\u52385000\\u5186\\u304c1\\u540d\\u69d8\\u306b\\u5f53\\u305f\\u308b\\n\\n\\u4e00\\u5fdc\\u52df\\u6761\\u4ef6\\u4e00\\n1\\u3001\\u3053\\u306e\\u6295\\u7a3f\\u3092\\u30ea\\u30c4\\u30a4\\u2212\\u30c8\\n2\\u3001\\u50d5\\u3068@BIG_BOBB_A\\u306e\\u30d5\\u30a9\\u30ed\\u2212\\n\\n\\u5f53\\u9078\\u4eba\\u6570 1\\u540d\\u69d8\\n12/14 23\\u664250\\u5206 \\u307e\\u3067 https://t.co/iaLLi87Qre\""
,"\"RT @Dinastia7Roja: Gary Baker ilustrador oficial del c\\u00f3mic de Garfield se acaba de burlar de Gaturro \\n\\nQue momento para estar vivo. https:/\\u2026\""
,"\"@Vladislava661 @KaterinaSSoria Can I get your friend's no?\""
,"\"RT @Bandidosfrasess: Yo no tengo rencor, podr\\u00eda desaparecer de tu vida por completo y estamos bien.\""
