,"\"what happened to some decorum https://t.co/EMvlRAc9k2\""
,"\"RT @Polimuba: Con el objetivo de resguardar la ornamentaci\\u00f3n navide\\u00f1a y brindar seguridad a los usuarios, los funcionarios de la Polic\\u00eda de\\u2026\""
,"\"iiyak ako puta https://t.co/qPRzFZ3Htj\""
,"\"RT @smells2030: Smells collections for perfume \\n#Be_cute https://t.co/MLipbeMzw2\""
,"\"I'm just so amazing by how much Arcana has opened up in the 6 months since we met https://t.co/Jwf94RTVyx\""
