,"\"Igual hoy tuve que ir a trabajar...\\ud83d\\ude14\\ud83d\\ude14\\ud83d\\ude14....\\n\\u00bf Est\\u00e1 es la paz de messi ? \\ud83d\\ude44\\ud83d\\ude44\\ud83d\\ude44\\ud83d\\ude44\\ud83d\\ude44\""
,"\"@EduAguirre7 donde quieras que est\\u00e9s, desde #Argentina te mandamos saludos... y si vas hablar de #Messi, antes, lavate la boca! Lo tuyo no puede pasar desapercibido, sos un detractor como los tantos anti argentina y anti messi, inaceptables. @elchiringuitotv\""
,"\"\\ud83d\\ude31 Erick Osores contra la FIFA: \\u201cLa industria quer\\u00eda que Messi sea campe\\u00f3n\\u201d\\nhttps://t.co/D3flLjALEh\""
,"\"yo? yo quiero algo como lo d Messi y Antonela\""
,"\"Argentina campe\\u00f3n: Messi le da una gran noticia sobre el PBI a Massa \\n\\u270d\\ufe0fPor @javslucki\\nhttps://t.co/7dYVnHE1SD\""
,"\"El s\\u00e1bado me preguntaron prefer\\u00eds ganar tu quiniela (estaba muy cerca de ganarla) o prefer\\u00eds que Argentina y Messi gane el mundial. Obvio le tengo demasiado amor a Messi aunque no sepa de mi existencia \\ud83e\\udd7a\\ud83e\\udd7a\""
,"\"Este hombre con esta mujer muestran que no hay g\\u00e9nero son una pareja juntos a la par Dios ... amo haber visto de Messi y antonela cada partido y la final consagr\\u00f3 quienes son CAMPEONES de la vida GRACIAS #MundialDiferente #Messi\\ud80c\\udcf5 #ArgentinaCampeonDelMundo https://t.co/3j4tZvArKo\""
,"\"por Messi y la \\\"Scaloneta\\\". \\nQue se yo\\u2026 cuando a Tabarez le iba bien ellos aplaud\\u00edan y ped\\u00edan copiar el proceso. Hoy es hora de tomar apuntes. Barrer con los referentes que ya no corren, poner a los j\\u00f3venes y jugar siempre a ganar. No es tan dif\\u00edcil. Faltan apenas 3 a\\u00f1os y medio\""
,"\"Messi es buen amigo, buen esposo, buen pap\\u00e1 y buen jugador. No tiene nada en contra\""
,"\"Podemos como argentinos ponernos de acuerdo y sacar el like de la foto del huevo as\\u00ed la de Messi levantando la #FIFAWorldCup queda con la mayor cantidad de la historia? \\n\\nhttps://t.co/5cjekesquR\""
,"\"A los periodistas: no lo hagan sentir inc\\u00f3modo a Messi dici\\u00e9ndole \\u00f1o\\u00f1erias.\""
,"\"El fan promedio de Messi piensa que quienes nos inclinamos por Francia es porque somos \\\"Anti Messi\\\" y les cuento que no, no es requisito odiar una cosa para sentirte propio de la otra.\""
,"\"Loco vi jugar tanto a Messi y sufrir en mi vida que no puedo procesar que lo logro loco QUE EJEMPLO LPM YO CON GANAS DE PEGARME UN TIRO TODA LA VIDA Y ESTE HIJO DE PUTA LEVANTANDOSE HASTA QUE LOGRO POR MESSI TE JURO QUE TE VOY A SEGUIR DE EJEMPLO SOS EL 1\""
,"\"LO MAS LINDO es q, en unos meses, en alg\\u00fan rinc\\u00f3n de esta tierra bendita, estar\\u00e1 naciendo el futuro mejor jugador del Mundo. \\n\\n'59: Di Stefano BalonDeOro ('60 nace D10S)\\n'86: Diego en la gloria ('87 nace Lio)\\n'22: Messi el mejor de la historia\\n\\n#FIFAWorldCup #Messi\\ud80c\\udcf5 #Argentina https://t.co/ZOW9ZvmkFF\""
,"\"Messi sac\\u00e1ndole fotos a Antonella\\u2764\\ufe0f\\u200d\\ud83d\\udd25 y Scaloni yendo casi autom\\u00e1ticamente a buscar a los hijos a la tribuna \\ud83d\\udc4f\\ud83c\\udffe. Dejaron la vara en la estratosfera  \\u2714\\ufe0f\""
,"\"\\ud83e\\udde4\\ud83c\\udfc6| #DeportesRED92 | #DibuMartinez | #LePudoHacerUpa\\n\\n\\u00a1Le pudo hacer upa!\\n\\n'Dibu' Mart\\u00ednez subi\\u00f3 una simp\\u00e1tica foto bromeando con la frase de Messi y la Copa del Mundo.\\n\\nhttps://t.co/3LkgDLknPQ https://t.co/neCfhcukNW\""
,"\"#Qatar2022 | Argentina campe\\u00f3n del mundo \\ud83c\\udfc6\\n\\n#Arg rompi\\u00f3 la sequ\\u00eda de 36 a\\u00f1os sin t\\u00edtulo mundial ante una #Fra impresionante. \\n\\n#Messi\\ud80c\\udcf5 brill\\u00f3 y devolvi\\u00f3 a la cima a la albiceleste como lo hiciera Maradona en una #FIFAWorldCup \\n\\nEl reporte final desde Lusail https://t.co/77I3xsKxpE\""
,"\"hay una en la parada del colectivo que le est\\u00e1 diciendo PELOTUDO A MESSI POR DEJARSE PONER E\\u00d1 COSO ESE QIENLE PUSO EL QATARI ME TITILA EL OJO DE LA BRONCA\""
,"\"La familia Messi decret\\u00f3 que la camiseta celeste y blanca es mufa as\\u00ed que desde 2023 nuestra bandera ser\\u00e1 violeta.\""
,"\"Que lo disfrute el pueblo que tanto se lo merece...\\n\\nGracias #Messi\\ud80c\\udcf5 https://t.co/dcy8cIZ9y1\""
,"\"D\\u00f3nde est\\u00e1 Messi dec\\u00edann, ac\\u00e1 lo ten\\u00e9s .. https://t.co/QfteJWBDGs\""
,"\"Buen d\\u00eda para todos los que creen en #Messi\\ud80c\\udcf5 y la Scaloneta!\""
,"\"cuidado anti #messi, #M3GAN vigila https://t.co/8z7vT1AVBp\""
,"\"Messi si tenes la nena ponele Katarina\""
,"\"Maradona es el mas grande de todos los tiempos, Messi es el mejor futbolista de la historia. Las dos cosas conviven y ninguna es mas importante que la otra. Para grieta La Naci\\u00f3n.\""
,"\"Quiero ir a ver a Messi cuando llegue a Argentina \\ud83e\\udd7a\""
,"\"Otra cosa que en estos momentos es irrelevante: LIONEL ANDR\\u00c9S MESSI CUCCITTINI VA A GANAR SU 8VO BAL\\u00d3N DE ORO!!!!!!!\""
,"\"Le iba a mandar te extra\\u00f1o solo por messi pero estoy bloqueado de todos lados\\ud83d\\ude02\\ud83d\\ude02\\ud83d\\ude02\""
,"\"Y entonces? Ya lo vieron a Messi? Es el que trae la copa del mundo pibe\""
,"\"S\\u00f3lo quiero que recordemos esto que dijo la nefasta un momento, porque merece total y completa condena nacional.\\nMessi o bala. Corta. https://t.co/BncHFUrou1\""
,"\"Todos estamos felices porque Messi la rompi\\u00f3 toda este mundial.. pero por favor Di Maria, Enzo,  Julian y Macalister hicieron desastre !!!!!!!\""
,"\"GRACIAS ARGENTINA, Y GRACIAS LIONEL ANDR\\u00c9S MESSI CUCCITINI POR HACERME TAN FELIZ \\ud83c\\udde6\\ud83c\\uddf7\\u2b50\\u2b50\\u2b50 https://t.co/S4iM7SJ2Ql\""
,"\"Nac\\u00ed muy temprano para comprar un terreno barato y muy tarde para morir piloteando una nave espacial pero justo a tiempo para ver a Messi levantar la dorada \\u2b50\\u2b50\\u2b50\""
,"\"gracias lionel messi gracias argentina \\u2764\""
,"\"Es como que: As\\u00ed Messi haya salido campe\\u00f3n toca ir a trabajar \\n-- a verrrrrrr, obvio toca trabajar, pero voy a ir a trabajar sabiendo que Messi es campe\\u00f3n del mundo \\ud83d\\ude0d\\ud83d\\ude0d\\ud83d\\ude0d Es m\\u00e1s, todo lo que ocurra en mi vida de ahora en adelante, va a ocurrir mientras Messi ya gano un mundial.\""
,"\"Subo una foto de messi y cada vez encuentro otra mejor\""
,"\"Dec\\u00edas?\\n#Messi #Mbappe #ArgentinaCampeonDelMundo  #Scaloneta https://t.co/HnLUFPGkfv\""
,"\"Gente si messi gan\\u00f3 el mundial y faker volvi\\u00f2 a una final  este a\\u00f1o, todo es posible.\\n\\nVan a salir de oro, es el momento porque en esta vida todo se puede.\""
,"\"Messi NO es el mejor futbolista de la historia por ganar un Mundial, una Champions, una Liga o un Bal\\u00f3n de Oro.\\n\\nMessi ES el mejor futbolista de la historia porque es el \\u00fanico que tiene un v\\u00eddeo de regates de m\\u00e1s de 30 minutos en una sola temporada https://t.co/TtrmT1Ckhe\""
,"\"Qu\\u00e9 es esta emoci\\u00f3n que despierta Messi! Por favor, expl\\u00edquenme!!\""
,"\"\\u00bfMessi el mejor de la historia?\""
,"\"Mundial de Qatar: \\u00bfCu\\u00e1l es el significado de la t\\u00fanica que luci\\u00f3 Lionel Messi al levantar la copa?\\nhttps://t.co/uttmjRG5Jo\""
