,"\"Espero que a nadie se le haya olvidado que LEO MESSI ES CAMPE\\u00d3N DEL MUNDO\""
,"\"Fueron los Mejores del Mundo, ganaron Ligas, Champions, Balones de Oro, Botas de Oro y mucho m\\u00e1s. \\nNadie se pudo sentar en su mesa, pero en Qatar tuvieron finales diferentes, Messi gan\\u00f3 la Copa del Mundo y el Bal\\u00f3n de Oro, Cristiano Ronaldo perdi\\u00f3 todo, hasta la titularidad. https://t.co/kZqJu8KQao\""
,"\"@JulioRazona ayer el emir de Catar le puso la capa de mas\\u00f3n 33 a Messi ,ayer sell\\u00f3 el pacto .\""
,"\"Esto dijo Jenna Ortega, la actriz de Merlina, cuando le mencionaron a Lionel Messi - QueVer https://t.co/53WE9MpVlM\""
,"\"Qu\\u00e9date con quien sea tu fan como Messi lo es de Antonella. \\ud83d\\ude0d https://t.co/eXoZsByq3y\""
,"\"\\ud83d\\udde3 \\\"Diego me la iba a regalar...\\\"\\nhttps://t.co/vrXSmxTuOn\""
,"\"\\ud83c\\udfc6\\ud83c\\udde6\\ud83c\\uddf7 \\u00bfQu\\u00e9 hubiera pasado si Messi se quita el 'bisht' de las m\\u00e1ximas autoridades qatar\\u00edes que le pusieron?\\n\\nhttps://t.co/QFLXLbXmxh\""
,"\"El futbolista argentino rompe r\\u00e9cord tras ganar la Copa Mundial de la FIFA Qatar 2022 \\ud83d\\ude31\\ud83d\\udc47\\n\\nhttps://t.co/R6gFGwLs8d\""
,"\"\\ud83c\\udde6\\ud83c\\uddf7Argentina se coron\\u00f3 campeona superando multitud de dificultades. Las tres claves de @PimenMarcos77: el factor familia, el factor confianza y el factor Leo Messi\\n\\n\\u270d\\ufe0f\\\"La forma de salir campeones\\\"\\n\\n\\ud83d\\udd17https://t.co/C8Fk9rKbVU https://t.co/ojJKc7vEM3\""
,"\"\\u00a1Grande! \\ud83d\\udc4f Messi ha acumulado un palmar\\u00e9s inmenso, casi inigualable \\ud83d\\udc4f\\u26bd\\ufe0f\\nhttps://t.co/fgk766qfod\""
,"\"\\ud83d\\udd1f\\ud83d\\udde3 Lionel Messi, capit\\u00e1n de Argentina: \\u201cSab\\u00eda que Dios me iba a regalar este t\\u00edtulo, present\\u00ed que iba a ser en este Mundial\\u201d https://t.co/6QQJ6HtEXM https://t.co/VfLoykfisa\""
,"\"\\ud83d\\udca5\\ud83d\\udc40 @David74Sanchez lo tiene claro en @Marcador \\n\\n\\ud83d\\udd34\\ud83d\\udd35 \\\"Rotundamente s\\u00ed. Traer\\u00eda de \\ud835\\ude03\\ud835\\ude02\\ud835\\uddf2\\ud835\\uddf9\\ud835\\ude01\\ud835\\uddee \\ud835\\uddee \\ud835\\udde0\\ud835\\uddf2\\ud835\\ude00\\ud835\\ude00\\ud835\\uddf6 al @FCBarcelona_es\\\" \\n\\n\\ud83d\\udc10\\ud83d\\udd1f \\\"Messi es un factor diferencial. Tendr\\u00eda cabida en el XI\\\" \\n\\n\\ud83d\\udcfb https://t.co/ilgsizI4uT https://t.co/CRyyvUrpe3\""
,"\"ATENCI\\u00d3N - En #Francia hacen \\u2018relajo\\u2019: \\u201cEl gol de #Messi en la pr\\u00f3rroga es ilegal\\u201d https://t.co/lTtEEhl8pf #Qatar2022 https://t.co/3LlmPVOiMj\""
,"\"\\u201cEl f\\u00fatbol te lo deb\\u00eda\\u201d, Luis D\\u00edaz felicita a Messi por el triunfo en Qatar \\u27a1https://t.co/dk1MIbzMzC https://t.co/6NfYPqWcOZ\""
,"\"El fondo de pantalla que siempre So\\u00f1\\u00e9. Messi y la \\u2b50\\u2b50\\u2b50 #LaScaloneta https://t.co/qOotgyUmo1\""
,"\"Ahora ya en fr\\u00edo...que pedazo de jugador Mbappe, si no sale otro Messi va a ser el mejor por mucha distancia con el resto.\""
,"\"Deber\\u00edan proponer un proyecto de ley, para cambiarle el nombre a alguna provincia por Lionel Messi.\""
,"\"a traves de dos personas nomas conozco a messi, alguien conoce a alg q estuvo con messiiiii\""
,"\"Desde ayer todo mi tik tok est\\u00e1 lleno de Messi, Mbapp\\u00e9 y Scaloni\""
,"\"buenas tardes chavales les vengo a recordar q messi es campe\\u00f3n del mundo\""
,"\"Argentina y Messi campeones del mundo\\n\\n#Futbol #MundialCatar2022 https://t.co/LWu9rUuYHS\""
