,"\"Parafantastico \\n\\u26a1\\ufe0f\\u2694\\ufe0f\\u26a1\\ufe0f\\n\\nLa VERDAD Oculta De MESSI y La Capa NEGRA (ReSubido) \\n\\nhttps://t.co/3ypFVuBqbe https://t.co/7oieahlqdC\""
,"\"podemos hablar de que carajo es esa BATA que le pusieron a Messi ayer????\""
,"\"SISI YA SE QUE T\\u00da MESSI GAN\\u00d3 EL \\nMUNDIAL,PERO TRANQUIL\\u00cdZATE NI\\u00d1O QUE ESO NO LO HACE EL MEJOR JUGADOR DEL MUNDO\\u26bd\\ufe0f\\ud83d\\ude02\\ud83d\\udd25\""
,"\"Estrellas de Hollywood, deportistas y presidentes, felices por Messi y Argentina https://t.co/gigPmMPanp\""
,"\"quiero q alguien me quiera tanto como kun a Messi\""
,"\"La carita de Messi recibiendo y mirando la copa deber\\u00edamos tatuarnosla todos los argentinos \\ud83c\\udfc6\\ud83c\\udde6\\ud83c\\uddf7 #FIFAWorldCup #Messi\\ud80c\\udcf5 #ArgentinaCampeonDelMundo\""
,"\"Parce\\u2026 estoy hasta la puta madre de Messi, a lo bien superen\""
,"\"Otro gol de Messi, t\\u00fa eres mi Antonella. \\ud83d\\udcab\""
,"\"CHICOS MESSI SE ABRAZA CON LA COCINERA NO CON LA MADRE\""
,"\"Mi pap\\u00e1 y yo lloramos como unos ni\\u00f1os apenas nos vimos y mi mam\\u00e1 tipo???y nosotros tipo no lo entender\\u00edas Messi lo merec\\u00eda demasiado\""
,"\"s\\u00e1quenle su mg a la foto del huevo de ig asi Messi tiene la foto con mas likes\""
,"\"no hay cosa m\\u00e1s hermosa que levantarse y ver a Messi con la del mundo\""
,"\"Creo que debemos empezar la campa\\u00f1a #FestejoEnElBalc\\u00f3nDeLaRosada porque all\\u00ed debiera ir la selecci\\u00f3n a celebrar, porque la Plaza de Mayo es el lugar del pueblo y el balc\\u00f3n de Maradona hoy debe ser el de Messi. Nos quieren robar la alegr\\u00eda\""
,"\"Vino mi jefe a preguntarme c\\u00f3mo me estaba yendo con lo que estaba laburando y yo estaba mirando un video que se llama \\u201cAs\\u00ed narr\\u00f3 el mundo el hist\\u00f3rico t\\u00edtulo de Messi ante Francia\\u201d por suerte se labura mucho en Argentina hoy\""
,"\"Otro gol de Messi, t\\u00fa eres mi Antonela\""
,"\"Madridistas ofendiditos porque un fan ha llamado a camavinga carapinga, cuando se han pasado la vida llamando enano cliclado a Messi\""
,"\"No puedo dejar de ver cosas de la selecci\\u00f3n, de Messi y de la copa. Que momento para estar vivo y para ser Argentina. \\ud83c\\udde6\\ud83c\\uddf7\\u2b50\\u2b50\\u2b50\\ud83e\\udec2\""
,"\"[EL RETORNO DEL REY] \\u26bd\\ufe0f \\u00bfVuelve Messi a Newells?https://t.co/PxLdVXwmTu\""
,"\"si messi est\\u00e1 feliz la rep\\u00fablica argentina esta feliz\""
,"\"Yo cuando messi meti\\u00f3 el 3ro y no sab\\u00eda si val\\u00eda o no https://t.co/pdhjOISWxn\""
,"\"Bueno ahora que Messi gano el mundial , puedo buscar novia o mejor espero al final del pr\\u00f3ximo mundial\""
,"\"Messi y compa\\u00f1\\u00eda le piden elegantemente a Scaloni que renueve con Argentina: \\\"Firma el contrato, la p... que te pari\\u00f3\\\" https://t.co/fAoz6dIxZA https://t.co/fKdFrYps90\""
,"\"La copa que gan\\u00f3 Messi / La copa que gan\\u00f3 mi t\\u00edo en el futbol llanero https://t.co/ThVpZssv89\""
,"\"En TikTok ahora me sale puro Messi \\ud83e\\udd70\""
,"\"Mira esto... \\ud83d\\udc40\\n https://t.co/OI4LIOHmFC via @pinterest #ARGENTINA #AFA #MESSI #MAFIAFIFA #FIFAMAFIA #CARTELDELGOL #GDL https://t.co/i4wPTqebuy\""
,"\"A veces pienso que el Real Madrid se foll\\u00f3 vivos a Mbappe y a Messi en el Bernabeu hace unos meses y se me ponen los pelos de punta. Hat trick de Karim. Alaba con una silla en las manos. Modric pegando una clase de futbol. Tremendo lo de la \\u00faltima Copa de Europa.\""
,"\"Para una pelicula del mundial, quien quieren que interprete a Messi?\""
,"\"pos @krispykreme hizo una dona en honor a mejico y no ha messi \\ud83e\\udd23 https://t.co/LJUm3tZ2aa\""
,"\"lo malo que ven\\u00eda siendo este a\\u00f1o y termin\\u00e9 recibi\\u00e9ndome y viendo a Messi levantar la copa del mundo\""
,"\"Lionel Messi recibi\\u00f3 una capa del Emir Tamim bin Hamad antes de levantar la copa. \\ud83c\\udfc6\\n\\nhttps://t.co/hjm4ng0xY4\""
,"\"Superar\\u00e1 Messi a la foto del huevo?\""
,"\"Lo bonito del fin del debate entre Messi y Ronaldo es que ahora la nueva generaci\\u00f3n con Mbapp\\u00e9, Haaland y Vinicius en ataque, Gavi, Pedri, Musiala y Bellingham en mediocampo es que lo podr\\u00e1s disfrutar sin buscar compararlo al menos en mi perspectiva y percepci\\u00f3n.\""
,"\"Loco, los dise\\u00f1os que salieron de Messi son \\u00c9PICOS \\u2728\\ud83d\\ude0d\\ud83d\\udd25\""
,"\"Yo a\\u00fan no puedo creer como es que Messi no estuvo ni en los 30 mejores jugadores del mundo \\ud83e\\udd10\\ud83e\\udd10\\ud83e\\udd10\\ud83e\\udd10\\ud83e\\udd10\""
,"\"Messi \\u00e9 un mago que xogaao futbol coa xenialidade ceibe coa que Chaplin actuaba en 'O gran dictador\\\". M\\u00e1goa que non dixera nada do r\\u00e9xime infame de Qatar e da condea a morte do xogador iran\\u00ed Azadani na loita pola liberdade.\""
,"\"Nunca la pas\\u00e9 tan bien con un spameo c\\u00f3mo con todo lo que tenga que ver con lo de ayer. 60 personas suben el mismo video de Messi? Lo miro las 60 veces y las 60 veces soy feliz. Gracias Argentina.\""
